model,lang,tau_mean,tau_std,n_pos_mean,n_pos_std,recall_at_1pctfpr_mean,recall_at_1pctfpr_std,recall_at_1pctfpr_lo_mean,recall_at_1pctfpr_lo_std,recall_at_1pctfpr_hi_mean,recall_at_1pctfpr_hi_std
B1_tfidf_svm,ar,0.4413971223964462,,150.0,,0.0333333333333333,,0.0066666666666666,,0.0666666666666666,
B1_tfidf_svm,ar_mt,0.4413971223964462,,50.0,,0.04,,0.0,,0.1,
B1_tfidf_svm,ar_roman_nat,0.4413971223964462,,15.0,,0.4,,0.2,,0.6666666666666666,
B1_tfidf_svm,de_mt,0.4413971223964462,,50.0,,0.24,,0.12,,0.36,
B1_tfidf_svm,es,0.4413971223964462,,20.0,,0.15,,0.0,,0.35,
B1_tfidf_svm,es_mt,0.4413971223964462,,50.0,,0.06,,0.0,,0.14,
B1_tfidf_svm,fr_mt,0.4413971223964462,,50.0,,0.26,,0.14,,0.38,
B1_tfidf_svm,hi_mt,0.4413971223964462,,50.0,,0.08,,0.02,,0.16,
B1_tfidf_svm,pt_mt,0.4413971223964462,,50.0,,0.38,,0.26,,0.5004999999999995,
B1_tfidf_svm,ru_mt,0.4413971223964462,,50.0,,0.12,,0.04,,0.22,
B1_tfidf_svm,zh_mt,0.4413971223964462,,50.0,,0.04,,0.0,,0.1,
B2_deberta,ar,0.0008203387260437,,150.0,,1.0,,1.0,,1.0,
B2_deberta,ar_mt,0.0008203387260437,,50.0,,1.0,,1.0,,1.0,
B2_deberta,ar_roman_nat,0.0008203387260437,,15.0,,0.9333333333333332,,0.8,,1.0,
B2_deberta,de_mt,0.0008203387260437,,50.0,,0.9,,0.8195,,0.9604999999999996,
B2_deberta,es,0.0008203387260437,,20.0,,1.0,,1.0,,1.0,
B2_deberta,es_mt,0.0008203387260437,,50.0,,1.0,,1.0,,1.0,
B2_deberta,fr_mt,0.0008203387260437,,50.0,,0.98,,0.94,,1.0,
B2_deberta,hi_mt,0.0008203387260437,,50.0,,1.0,,1.0,,1.0,
B2_deberta,pt_mt,0.0008203387260437,,50.0,,0.98,,0.94,,1.0,
B2_deberta,ru_mt,0.0008203387260437,,50.0,,1.0,,1.0,,1.0,
B2_deberta,zh_mt,0.0008203387260437,,50.0,,0.86,,0.76,,0.94,
B3_injecguard,ar,0.4515064954757691,,150.0,,0.0,,0.0,,0.0,
B3_injecguard,ar_mt,0.4515064954757691,,50.0,,0.0,,0.0,,0.0,
B3_injecguard,ar_roman_nat,0.4515064954757691,,15.0,,0.1333333333333333,,0.0,,0.3333333333333333,
B3_injecguard,de_mt,0.4515064954757691,,50.0,,0.02,,0.0,,0.06,
B3_injecguard,es,0.4515064954757691,,20.0,,0.05,,0.0,,0.15,
B3_injecguard,es_mt,0.4515064954757691,,50.0,,0.04,,0.0,,0.1,
B3_injecguard,fr_mt,0.4515064954757691,,50.0,,0.0,,0.0,,0.0,
B3_injecguard,hi_mt,0.4515064954757691,,50.0,,0.0,,0.0,,0.0,
B3_injecguard,pt_mt,0.4515064954757691,,50.0,,0.04,,0.0,,0.1,
B3_injecguard,ru_mt,0.4515064954757691,,50.0,,0.0,,0.0,,0.0,
B3_injecguard,zh_mt,0.4515064954757691,,50.0,,0.02,,0.0,,0.06,
B5_embedding,ar,0.5140611002157061,,150.0,,0.62,,0.5466666666666666,,0.6933333333333334,
B5_embedding,ar_mt,0.5140611002157061,,50.0,,0.82,,0.7,,0.92,
B5_embedding,ar_roman_nat,0.5140611002157061,,15.0,,0.1333333333333333,,0.0,,0.3333333333333333,
B5_embedding,de_mt,0.5140611002157061,,50.0,,0.84,,0.74,,0.92,
B5_embedding,es,0.5140611002157061,,20.0,,0.85,,0.7,,1.0,
B5_embedding,es_mt,0.5140611002157061,,50.0,,0.9,,0.8,,0.98,
B5_embedding,fr_mt,0.5140611002157061,,50.0,,0.86,,0.7595000000000001,,0.94,
B5_embedding,hi_mt,0.5140611002157061,,50.0,,0.88,,0.78,,0.96,
B5_embedding,pt_mt,0.5140611002157061,,50.0,,0.88,,0.78,,0.96,
B5_embedding,ru_mt,0.5140611002157061,,50.0,,0.28,,0.1595,,0.4,
B5_embedding,zh_mt,0.5140611002157061,,50.0,,0.92,,0.84,,0.98,
CANOPI,ar,0.435499370098114,,150.0,,0.62,,0.5333333333333333,,0.6933333333333334,
CANOPI,ar_mt,0.435499370098114,,50.0,,0.84,,0.74,,0.94,
CANOPI,ar_roman_nat,0.435499370098114,,15.0,,0.2,,0.0,,0.4,
CANOPI,de_mt,0.435499370098114,,50.0,,0.92,,0.84,,0.98,
CANOPI,es,0.435499370098114,,20.0,,0.7,,0.5,,0.9,
CANOPI,es_mt,0.435499370098114,,50.0,,0.9,,0.8,,0.98,
CANOPI,fr_mt,0.435499370098114,,50.0,,0.9,,0.8,,0.98,
CANOPI,hi_mt,0.435499370098114,,50.0,,0.92,,0.84,,0.98,
CANOPI,pt_mt,0.435499370098114,,50.0,,0.92,,0.84,,0.98,
CANOPI,ru_mt,0.435499370098114,,50.0,,0.28,,0.16,,0.4,
CANOPI,zh_mt,0.435499370098114,,50.0,,0.9,,0.82,,0.98,
