detector,heldout_family,clean_mean,clean_std,clean_ci_lo,clean_ci_hi,none_mean,none_std,none_ci_lo,none_ci_hi,c_mean,c_std,c_ci_lo,c_ci_hi,cplus_mean,cplus_std,cplus_ci_lo,cplus_ci_hi,n_seeds
CANOPI,confusable_known,0.9615,0.0038,0.9577,0.967,0.9615,0.0038,0.9577,0.967,0.962,0.0041,0.9577,0.9673,0.962,0.0041,0.9577,0.9673,5
CANOPI,confusable_tr39,0.9615,0.0038,0.9577,0.967,0.9785,0.0063,0.9725,0.985,0.964,0.0122,0.9502,0.977,0.962,0.0041,0.9577,0.9673,5
CANOPI,smallcap_oom,0.9615,0.0038,0.9577,0.967,0.9905,0.0033,0.9855,0.9925,0.9905,0.0033,0.9855,0.9925,0.9585,0.0029,0.9552,0.9623,5
CANOPI,invisible_tag,0.9615,0.0038,0.9577,0.967,0.9615,0.0038,0.9577,0.967,0.96,0.0047,0.9552,0.9667,0.96,0.0047,0.9552,0.9667,5
CANOPI,structural,0.9615,0.0038,0.9577,0.967,0.3475,0.1467,0.1807,0.5425,0.9545,0.0048,0.948,0.9597,0.9545,0.0048,0.948,0.9597,5
CANOPI,semantic,0.9615,0.0038,0.9577,0.967,0.9565,0.0022,0.955,0.9597,0.9565,0.0022,0.955,0.9597,0.9565,0.0022,0.955,0.9597,5
regex,confusable_known,0.1325,0.0,0.1325,0.1325,0.0175,0.0,0.0175,0.0175,0.1325,0.0,0.1325,0.1325,0.1325,0.0,0.1325,0.1325,5
regex,confusable_tr39,0.1325,0.0,0.1325,0.1325,0.0,0.0,0.0,0.0,0.0035,0.0022,0.0003,0.005,0.1325,0.0,0.1325,0.1325,5
regex,smallcap_oom,0.1325,0.0,0.1325,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325,0.0,0.1325,0.1325,5
regex,invisible_tag,0.1325,0.0,0.1325,0.1325,0.0005,0.0011,0.0,0.0022,0.001,0.0014,0.0,0.0025,0.1285,0.0014,0.1275,0.13,5
regex,structural,0.1325,0.0,0.1325,0.1325,0.0095,0.0011,0.0077,0.01,0.0265,0.0014,0.025,0.0275,0.0265,0.0014,0.025,0.0275,5
regex,semantic,0.1325,0.0,0.1325,0.1325,0.0575,0.0,0.0575,0.0575,0.0575,0.0,0.0575,0.0575,0.0575,0.0,0.0575,0.0575,5
tfidf_svm,confusable_known,0.99,0.0,0.99,0.99,0.3975,0.0,0.3975,0.3975,0.99,0.0,0.99,0.99,0.99,0.0,0.99,0.99,5
tfidf_svm,confusable_tr39,0.99,0.0,0.99,0.99,0.0845,0.0082,0.0732,0.0922,0.295,0.0176,0.2755,0.3125,0.99,0.0,0.99,0.99,5
tfidf_svm,smallcap_oom,0.99,0.0,0.99,0.99,0.0155,0.0051,0.01,0.02,0.061,0.0042,0.0555,0.065,0.99,0.0,0.99,0.99,5
tfidf_svm,invisible_tag,0.99,0.0,0.99,0.99,0.0695,0.0101,0.0578,0.0795,0.077,0.0086,0.066,0.087,0.99,0.0,0.99,0.99,5
tfidf_svm,structural,0.99,0.0,0.99,0.99,0.275,0.0,0.275,0.275,0.778,0.0189,0.754,0.7973,0.778,0.0189,0.754,0.7973,5
tfidf_svm,semantic,0.99,0.0,0.99,0.99,0.99,0.0,0.99,0.99,0.99,0.0,0.99,0.99,0.99,0.0,0.99,0.99,5
protectai/deberta,confusable_known,0.9125,0.0,0.9125,0.9125,0.9825,0.0,0.9825,0.9825,0.9125,0.0,0.9125,0.9125,0.9125,0.0,0.9125,0.9125,5
protectai/deberta,confusable_tr39,0.9125,0.0,0.9125,0.9125,0.999,0.0014,0.9975,1.0,0.9985,0.0014,0.9975,1.0,0.9125,0.0,0.9125,0.9125,5
protectai/deberta,smallcap_oom,0.9125,0.0,0.9125,0.9125,0.998,0.0011,0.9975,0.9998,0.998,0.0011,0.9975,0.9998,0.9165,0.0014,0.915,0.9175,5
protectai/deberta,invisible_tag,0.9125,0.0,0.9125,0.9125,1.0,0.0,1.0,1.0,0.9125,0.0,0.9125,0.9125,0.9125,0.0,0.9125,0.9125,5
protectai/deberta,structural,0.9125,0.0,0.9125,0.9125,0.9885,0.0022,0.9852,0.99,0.9225,0.0018,0.9203,0.9248,0.9225,0.0018,0.9203,0.9248,5
protectai/deberta,semantic,0.9125,0.0,0.9125,0.9125,0.9005,0.0051,0.895,0.905,0.9015,0.0052,0.8952,0.9073,0.9015,0.0052,0.8952,0.9073,5
InjecGuard,confusable_known,0.425,0.0,0.425,0.425,0.0025,0.0,0.0025,0.0025,0.425,0.0,0.425,0.425,0.425,0.0,0.425,0.425,5
InjecGuard,confusable_tr39,0.425,0.0,0.425,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.425,0.425,5
InjecGuard,smallcap_oom,0.425,0.0,0.425,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.0011,0.3652,0.3675,5
InjecGuard,invisible_tag,0.425,0.0,0.425,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4205,0.0011,0.42,0.4222,5
InjecGuard,structural,0.425,0.0,0.425,0.425,0.0,0.0,0.0,0.0,0.2965,0.0022,0.295,0.2997,0.2965,0.0022,0.295,0.2997,5
InjecGuard,semantic,0.425,0.0,0.425,0.425,0.389,0.0052,0.3828,0.3947,0.388,0.0054,0.3825,0.3945,0.388,0.0054,0.3825,0.3945,5
