detector,attack,recall_clean,recall_attacked,recall_recovered,drop,recovered_frac,over_trigger
HG_MULTIFEAT,homoglyph,0.986,0.3743,0.986,0.6117,1.0,False
HG_MULTIFEAT,zero_width,0.986,0.0,0.986,0.986,1.0,False
HG_MULTIFEAT,leet,0.986,0.9609,0.9972,0.0251,1.0,False
HG_MULTIFEAT,spacing,0.986,0.0,0.9916,0.986,1.0,False
protectai/deberta,homoglyph,0.9218,1.0,0.9218,-0.0782,,True
protectai/deberta,zero_width,0.9218,1.0,0.9218,-0.0782,,True
protectai/deberta,leet,0.9218,1.0,0.9553,-0.0782,,True
protectai/deberta,spacing,0.9218,1.0,0.9665,-0.0782,,True
InjecGuard,homoglyph,0.3883,0.0,0.3883,0.3883,1.0,False
InjecGuard,zero_width,0.3883,0.0,0.3883,0.3883,1.0,False
InjecGuard,leet,0.3883,0.3156,0.3156,0.0727,0.0,False
InjecGuard,spacing,0.3883,0.0056,0.3101,0.3827,0.796,False
