detector,attack,recall_clean_mean,recall_clean_std,recall_clean_ci_lo,recall_clean_ci_hi,recall_attacked_mean,recall_attacked_std,recall_attacked_ci_lo,recall_attacked_ci_hi,recall_recovered_mean,recall_recovered_std,recall_recovered_ci_lo,recall_recovered_ci_hi,n_seeds
CANOPI,homoglyph,0.9615,0.0038,0.9577,0.967,0.9615,0.0038,0.9577,0.967,0.962,0.0041,0.9577,0.9673,5
CANOPI,zero_width,0.9615,0.0038,0.9577,0.967,0.9615,0.0038,0.9577,0.967,0.962,0.0041,0.9577,0.9673,5
CANOPI,leet,0.9615,0.0038,0.9577,0.967,0.6825,0.1776,0.4165,0.8445,0.96,0.0136,0.9412,0.9723,5
CANOPI,spacing,0.9615,0.0038,0.9577,0.967,0.512,0.1138,0.3775,0.646,0.9755,0.0086,0.9635,0.9845,5
regex,homoglyph,0.1325,0.0,0.1325,0.1325,0.019,0.0014,0.0175,0.02,0.1325,0.0,0.1325,0.1325,5
regex,zero_width,0.1325,0.0,0.1325,0.1325,0.0135,0.0038,0.01,0.0175,0.1325,0.0,0.1325,0.1325,5
regex,leet,0.1325,0.0,0.1325,0.1325,0.02,0.0,0.02,0.02,0.0445,0.0078,0.0377,0.0563,5
regex,spacing,0.1325,0.0,0.1325,0.1325,0.021,0.0022,0.0178,0.0225,0.0465,0.0038,0.0425,0.05,5
tfidf_svm,homoglyph,0.99,0.0,0.99,0.99,0.6125,0.0283,0.5797,0.6512,0.99,0.0,0.99,0.99,5
tfidf_svm,zero_width,0.99,0.0,0.99,0.99,0.141,0.0135,0.13,0.1608,0.99,0.0,0.99,0.99,5
tfidf_svm,leet,0.99,0.0,0.99,0.99,0.473,0.0048,0.4657,0.4772,0.9835,0.0014,0.9825,0.985,5
tfidf_svm,spacing,0.99,0.0,0.99,0.99,0.894,0.0045,0.89,0.8998,0.925,0.0053,0.918,0.93,5
protectai/deberta,homoglyph,0.9125,0.0,0.9125,0.9125,0.996,0.0014,0.995,0.9975,0.9125,0.0,0.9125,0.9125,5
protectai/deberta,zero_width,0.9125,0.0,0.9125,0.9125,1.0,0.0,1.0,1.0,0.9125,0.0,0.9125,0.9125,5
protectai/deberta,leet,0.9125,0.0,0.9125,0.9125,1.0,0.0,1.0,1.0,0.9435,0.0029,0.9402,0.9473,5
protectai/deberta,spacing,0.9125,0.0,0.9125,0.9125,1.0,0.0,1.0,1.0,0.951,0.0038,0.9477,0.9567,5
InjecGuard,homoglyph,0.425,0.0,0.425,0.425,0.0025,0.0,0.0025,0.0025,0.425,0.0,0.425,0.425,5
InjecGuard,zero_width,0.425,0.0,0.425,0.425,0.0,0.0,0.0,0.0,0.425,0.0,0.425,0.425,5
InjecGuard,leet,0.425,0.0,0.425,0.425,0.3885,0.0175,0.3665,0.409,0.361,0.0072,0.355,0.3697,5
InjecGuard,spacing,0.425,0.0,0.425,0.425,0.005,0.004,0.0003,0.0097,0.33,0.0119,0.318,0.3445,5
