detector,attack,sigma,attacked,recovered
CANOPI,homoglyph,0.25,0.96,0.96
CANOPI,homoglyph,0.5,0.96,0.96
CANOPI,homoglyph,0.75,0.96,0.96
CANOPI,homoglyph,1.0,0.96,0.96
CANOPI,zero_width,0.25,0.96,0.96
CANOPI,zero_width,0.5,0.96,0.96
CANOPI,zero_width,0.75,0.96,0.96
CANOPI,zero_width,1.0,0.96,0.96
CANOPI,leet,0.25,0.85,0.955
CANOPI,leet,0.5,0.655,0.9525
CANOPI,leet,0.75,0.385,0.94
CANOPI,leet,1.0,0.1475,0.9475
CANOPI,spacing,0.25,0.845,0.9625
CANOPI,spacing,0.5,0.6275,0.97
CANOPI,spacing,0.75,0.3725,0.98
CANOPI,spacing,1.0,0.04,0.9925
regex,homoglyph,0.25,0.035,0.1325
regex,homoglyph,0.5,0.02,0.1325
regex,homoglyph,0.75,0.0175,0.1325
regex,homoglyph,1.0,0.0175,0.1325
regex,zero_width,0.25,0.03,0.1325
regex,zero_width,0.5,0.02,0.1325
regex,zero_width,0.75,0.0175,0.1325
regex,zero_width,1.0,0.0,0.1325
regex,leet,0.25,0.0275,0.0825
regex,leet,0.5,0.02,0.055
regex,leet,0.75,0.02,0.0425
regex,leet,1.0,0.0175,0.03
regex,spacing,0.25,0.0725,0.1175
regex,spacing,0.5,0.035,0.0875
regex,spacing,0.75,0.0225,0.05
regex,spacing,1.0,0.0,0.02
tfidf_svm,homoglyph,0.25,0.975,0.99
tfidf_svm,homoglyph,0.5,0.8425,0.99
tfidf_svm,homoglyph,0.75,0.6,0.99
tfidf_svm,homoglyph,1.0,0.185,0.99
tfidf_svm,zero_width,0.25,0.86,0.99
tfidf_svm,zero_width,0.5,0.385,0.99
tfidf_svm,zero_width,0.75,0.1625,0.99
tfidf_svm,zero_width,1.0,0.0,0.99
tfidf_svm,leet,0.25,0.95,0.9875
tfidf_svm,leet,0.5,0.7575,0.985
tfidf_svm,leet,0.75,0.4725,0.9825
tfidf_svm,leet,1.0,0.17,0.98
tfidf_svm,spacing,0.25,0.9925,0.99
tfidf_svm,spacing,0.5,0.97,0.975
tfidf_svm,spacing,0.75,0.8975,0.9175
tfidf_svm,spacing,1.0,0.3875,0.5375
protectai/deberta,homoglyph,0.25,0.985,0.9125
protectai/deberta,homoglyph,0.5,0.99,0.9125
protectai/deberta,homoglyph,0.75,0.9975,0.9125
protectai/deberta,homoglyph,1.0,0.9975,0.9125
protectai/deberta,zero_width,0.25,1.0,0.9125
protectai/deberta,zero_width,0.5,1.0,0.9125
protectai/deberta,zero_width,0.75,1.0,0.9125
protectai/deberta,zero_width,1.0,1.0,0.9125
protectai/deberta,leet,0.25,0.995,0.9375
protectai/deberta,leet,0.5,0.995,0.945
protectai/deberta,leet,0.75,1.0,0.94
protectai/deberta,leet,1.0,1.0,0.95
protectai/deberta,spacing,0.25,0.985,0.9275
protectai/deberta,spacing,0.5,0.9975,0.9325
protectai/deberta,spacing,0.75,1.0,0.95
protectai/deberta,spacing,1.0,1.0,0.9625
InjecGuard,homoglyph,0.25,0.0625,0.425
InjecGuard,homoglyph,0.5,0.0025,0.425
InjecGuard,homoglyph,0.75,0.0025,0.425
InjecGuard,homoglyph,1.0,0.0025,0.425
InjecGuard,zero_width,0.25,0.0,0.425
InjecGuard,zero_width,0.5,0.0,0.425
InjecGuard,zero_width,0.75,0.0,0.425
InjecGuard,zero_width,1.0,0.0,0.425
InjecGuard,leet,0.25,0.0925,0.375
InjecGuard,leet,0.5,0.065,0.35
InjecGuard,leet,0.75,0.3875,0.37
InjecGuard,leet,1.0,0.7875,0.395
InjecGuard,spacing,0.25,0.1875,0.3975
InjecGuard,spacing,0.5,0.045,0.365
InjecGuard,spacing,0.75,0.0025,0.325
InjecGuard,spacing,1.0,0.0,0.28
