detector,attack,recall_clean,recall_attacked,recall_recovered,drop,recovered_frac,over_trigger
CANOPI,homoglyph,0.9575,0.9575,0.9575,0.0,,False
CANOPI,zero_width,0.9575,0.9575,0.9575,0.0,,False
CANOPI,leet,0.9575,0.7,0.965,0.2575,1.0,False
CANOPI,spacing,0.9575,0.655,0.985,0.3025,1.0,False
regex,homoglyph,0.1325,0.02,0.1325,0.1125,1.0,False
regex,zero_width,0.1325,0.0125,0.1325,0.12,1.0,False
regex,leet,0.1325,0.02,0.045,0.1125,0.222,False
regex,spacing,0.1325,0.02,0.0425,0.1125,0.2,False
tfidf_svm,homoglyph,0.99,0.6125,0.99,0.3775,1.0,False
tfidf_svm,zero_width,0.99,0.13,0.99,0.86,1.0,False
tfidf_svm,leet,0.99,0.465,0.985,0.525,0.99,False
tfidf_svm,spacing,0.99,0.89,0.93,0.1,0.4,False
protectai/deberta,homoglyph,0.9125,0.995,0.9125,-0.0825,,True
protectai/deberta,zero_width,0.9125,1.0,0.9125,-0.0875,,True
protectai/deberta,leet,0.9125,1.0,0.9475,-0.0875,,True
protectai/deberta,spacing,0.9125,1.0,0.9475,-0.0875,,True
InjecGuard,homoglyph,0.425,0.0025,0.425,0.4225,1.0,False
InjecGuard,zero_width,0.425,0.0,0.425,0.425,1.0,False
InjecGuard,leet,0.425,0.4,0.355,0.025,0.0,False
InjecGuard,spacing,0.425,0.005,0.3175,0.42,0.744,False
